Date,Title_Bull,Title_Bear,Title_Pos,Title_Neg,Body_Bull,Body_Bear,Body_Pos,Body_Neg,Comments_Bull,Comments_Bear,Comments_Pos,Comments_Neg,Bull_Bear_Ratio,EMA_3,EMA_10
2019-05-14,6,10,1.8530000000000002,2.052,14,10,0.799,1.0959999999999999,1233,1098,329.767,278.77099999999996,1.1229508196721312,1.1744089113634961,1.2942089186057375
2019-05-15,3,4,1.5219999999999998,1.155,3,2,0.465,1.111,1219,867,406.789,276.378,1.405997693194925,1.2902041857270434,1.3152276619991232
2019-05-16,5,6,2.477,1.797,17,15,1.244,0.8140000000000001,1227,976,352.04400000000004,254.988,1.257172131147541,1.2736880954334078,1.3043792489170623
2019-05-19,5,4,2.483,1.4280000000000002,14,9,0.33299999999999996,0.883,907,591,299.793,242.111,1.5346869712351945,1.4041877822427002,1.3471991653674482
2019-05-20,6,2,2.076,1.3330000000000002,31,22,1.177,0.74,1154,857,366.00300000000004,253.025,1.3465577596266045,1.37537274345449,1.3470803998596812
2019-05-21,3,2,1.95,2.638,43,33,1.577,1.319,1558,1335,434.67699999999996,369.228,1.1670411985018727,1.2712069213080468,1.3138547298238235
2019-05-22,7,5,4.276,2.516,18,11,0.715,0.581,1270,995,322.905,279.668,1.2763819095477387,1.2737944160447996,1.3069580571796038
2019-05-23,5,3,0.998,1.9240000000000002,25,15,1.14,0.73,1096,900,313.187,245.859,1.2177777777777778,1.2457860935724363,1.290581364981858
2019-05-27,5,8,1.381,1.178,23,17,1.4609999999999999,1.31,1207,946,298.968,216.072,1.2758985200845665,1.2608423077259219,1.287889960924797
2019-05-28,6,3,3.9389999999999996,2.121,23,36,2.511,1.3869999999999998,1227,1063,345.775,278.882,1.154280338664158,1.2075613216071428,1.2634352677078315
2019-05-29,7,3,0.87,2.036,37,39,1.079,1.311,1223,1202,355.505,295.962,1.0174708818635607,1.1125161003190676,1.218470708411817
2019-05-30,9,3,3.565,2.324,24,25,0.873,1.166,1553,1314,491.96,397.958,1.1818873668188736,1.1472017338273988,1.211789557330608
2019-06-02,9,6,1.358,1.3230000000000002,6,5,0.287,0.655,1096,928,314.035,272.16700000000003,1.1810344827586208,1.1641181083560281,1.2061773585404287
2019-06-03,6,4,2.426,1.511,21,10,0.569,0.787,1078,873,332.296,265.378,1.2348224513172967,1.199470279902511,1.2114010676589684
2019-06-04,5,6,2.6430000000000002,1.083,19,13,0.998,0.655,1196,996,369.536,334.881,1.2008032128514057,1.200136746377579,1.2094694924443052
2019-06-05,7,8,1.22,1.6269999999999998,19,21,1.213,0.987,1239,1050,344.269,281.494,1.18,1.190068373184101,1.204100731577436
2019-06-06,8,4,2.395,0.977,25,17,1.163,0.862,1385,1092,296.97700000000003,251.13099999999997,1.2683150183150182,1.2291916957586688,1.2157950746737627
2019-06-09,7,3,1.555,0.677,28,31,1.198,2.0069999999999997,1694,1278,429.42199999999997,299.514,1.325508607198748,1.2773501514843149,1.2357695675354625
2019-06-10,8,7,1.7169999999999999,1.499,50,55,2.105,1.5719999999999998,1575,1211,484.26300000000003,329.116,1.300578034682081,1.288964093083874,1.2475657673013458
2019-06-11,6,3,1.715,1.505,15,20,0.955,0.72,1239,998,355.379,266.56,1.2414829659318638,1.2652235295071779,1.2464588174275868
2019-06-12,1,4,1.995,2.401,11,7,1.92,0.5760000000000001,1167,904,348.846,274.693,1.290929203539823,1.2780763665236874,1.2545502390038497
2019-06-13,10,9,1.6780000000000002,1.305,12,8,0.515,0.89,964,759,279.374,224.726,1.2700922266139658,1.2740842965687975,1.2573777408896036
2019-06-16,4,1,2.323,1.3880000000000001,22,18,0.667,0.9470000000000001,957,599,257.07099999999997,184.843,1.5976627712854758,1.4358735339277253,1.3192779449183283
2019-06-17,7,2,2.529,2.407,24,20,1.4340000000000002,1.122,1450,944,351.162,269.671,1.5360169491525424,1.485945241540225,1.358700772473009
2019-06-18,6,3,1.439,2.287,43,32,1.2819999999999998,0.934,1277,954,379.876,323.94,1.3385744234800838,1.4122598325100875,1.3550402408267301
2019-06-19,8,6,1.9369999999999998,2.36,38,25,1.251,1.6780000000000002,1788,1277,448.88300000000004,367.69599999999997,1.4001566170712607,1.4062082247906713,1.3632454107791618
2019-06-20,9,7,1.1520000000000001,2.185,51,47,1.972,1.02,1511,1124,420.349,286.654,1.344306049822064,1.3752571373063605,1.3598011376134116
2019-06-23,2,4,1.493,1.589,24,20,1.609,1.035,1244,833,365.219,256.447,1.4933973589435774,1.4343272481249756,1.3840957052921636
2019-06-24,6,9,2.225,2.505,21,18,0.7909999999999999,0.825,1574,1114,454.219,384.811,1.4129263913824057,1.4236268197536899,1.3893384154874895
2019-06-25,4,4,2.108,1.766,19,23,1.138,1.012,1403,923,448.278,336.164,1.5200433369447455,1.4718350783492191,1.4131057925858725
2019-06-26,6,3,0.6970000000000001,0.985,42,21,1.895,1.3630000000000002,1119,818,403.462,310.385,1.3679706601466992,1.4199028692479585,1.4048986008132867
2019-06-27,4,7,1.284,2.906,19,29,1.0390000000000001,1.317,1150,748,298.278,238.442,1.5374331550802138,1.4786680121640865,1.4289977242128913
2019-06-30,9,4,2.9210000000000003,0.992,31,12,1.199,1.891,1206,757,556.0369999999999,247.638,1.5931307793923382,1.5358993957782128,1.4588420551639296
2019-07-01,8,4,2.5610000000000004,1.473,16,6,1.381,0.639,1306,868,416.405,286.677,1.5046082949308757,1.520253845354544,1.4671636361935088
2019-07-02,7,0,2.7489999999999997,1.469,26,21,1.111,1.169,1178,789,349.131,231.449,1.4930291508238276,1.5066414980891858,1.4718666635109745
2019-07-04,4,3,0.547,2.331,24,14,1.571,1.67,1177,862,336.855,274.002,1.365429234338747,1.4360353662139664,1.4525137084957946
2019-07-07,4,7,0.9229999999999999,2.21,10,7,1.1059999999999999,0.875,1188,921,329.72,260.138,1.289902280130293,1.3629688231721298,1.4229471253030959
2019-07-08,9,2,1.97,1.159,30,28,2.063,2.079,1577,1019,492.537,324.526,1.547595682041217,1.4552822526066735,1.4456110442293706
2019-07-09,9,7,2.0580000000000003,2.008,16,13,2.135,1.405,1031,733,291.483,233.51,1.4065484311050478,1.4309153418558607,1.4385086112014653
2019-07-10,4,2,0.9209999999999999,2.345,23,15,0.9390000000000001,1.1,1311,898,400.02,315.676,1.4599109131403119,1.4454131274980861,1.4424000014657545
2019-07-11,4,4,3.036,1.704,13,6,0.865,0.41100000000000003,1155,749,368.18199999999996,238.795,1.5420560747663552,1.4937346011322208,1.4605195261569588
2019-07-14,6,2,2.306,1.385,31,13,1.89,0.935,1300,855,350.717,257.047,1.5204678362573099,1.5071012186947654,1.4714193363540724
2019-07-15,7,8,1.751,1.672,17,27,1.028,1.443,1312,884,362.11,252.32,1.4841628959276019,1.4956320573111836,1.4737363676134279
2019-07-16,2,5,3.174,0.799,36,33,1.7619999999999998,0.691,1608,1301,466.233,336.805,1.2359723289777094,1.3658021931444466,1.430506230570938
2019-07-17,2,3,2.431,1.15,27,17,1.541,0.696,1711,969,494.608,341.135,1.7657378740970073,1.565770033620727,1.4914577982128463
2019-07-18,6,8,2.964,1.286,71,58,1.077,1.206,1405,983,386.876,293.26599999999996,1.429298067141404,1.4975340503810655,1.4801559743528747
